345,Avatar,Movie
346,James Cameron,Person
347,Sam Worthington,Person
348,Zoe Saldana,Person
349,Sigourney Weaver,Person
350,Stephen Lang,Person
351,Michelle Rodriguez,Person
352,Joel Moore,Person
353,Giovanni Ribisi,Person
354,CCH Pounder,Person
355,Laz Alonso,Person
356,Wes Studi,Person
357,Dileep Rao,Person
358,Matt Gerald,Person
359,Dean Knowsley,Person
360,Amélie,Movie
361,Jean-Pierre Jeunet,Person
362,Audrey Tautou,Person
363,Rufus,Person
364,Jamel Debbouze,Person
365,Claire Maurier,Person
366,Isabelle Nanty,Person
367,Dominique Pinon,Person
368,Artus de Penguern,Person
369,Yolande Moreau,Person
370,Lorella Cravotta,Person
371,Serge Merlin,Person
372,Clotilde Mollet,Person
373,Urbain Cancelier,Person
374,Maurice Bénichou,Person
375,Full Metal Jacket,Movie
376,Stanley Kubrick,Person
377,Matthew Modine,Person
378,Adam Baldwin,Person
379,Vincent D'Onofrio,Person
380,R. Lee Ermey,Person
381,Dorian Harewood,Person
382,Kevyn Major Howard,Person
383,Arliss Howard,Person
384,Ed O'Ross,Person
385,John Terry,Person
386,Kieron Jecchinis,Person
387,Kirk Taylor,Person
388,Tim Colceri,Person
389,Jon Stafford,Person
390,Bruce Boa,Person
391,Ian Tyler,Person
392,Sal Lopez,Person
393,Gary Landon Mills,Person
394,Papillon Soo,Person
395,Peter Edmund,Person
396,Ngoc Le,Person
397,Tan Hung Francione,Person
398,Costas Dino Chimona,Person
399,E.T.: The Extra-Terrestrial,Movie
400,Steven Spielberg,Person
401,Henry Thomas,Person
402,Robert MacNaughton,Person
403,Drew Barrymore,Person
404,Peter Coyote,Person
405,K.C. Martel,Person
406,Sean Frye,Person
407,C. Thomas Howell,Person
408,David M. O'Dell,Person
409,Richard Swingler,Person
410,Frank Toth,Person
411,Pat Welsh,Person
412,Dee Wallace,Person
413,Erika Eleniak,Person
414,Independence Day,Movie
415,Roland Emmerich,Person
416,Will Smith,Person
417,Bill Pullman,Person
418,Jeff Goldblum,Person
419,Mary McDonnell,Person
420,Judd Hirsch,Person
421,Robert Loggia,Person
422,Randy Quaid,Person
423,Margaret Colin,Person
424,Vivica A. Fox,Person
425,James Rebhorn,Person
426,Harvey Fierstein,Person
427,Brent Spiner,Person
428,James Duval,Person
429,Lisa Jakub,Person
430,Giuseppe Andrews,Person
431,The Matrix,Movie
432,Lana Wachowski,Person
433,Andy Wachowski,Person
434,Keanu Reeves,Person
435,Carrie-Anne Moss,Person
436,Laurence Fishburne,Person
437,Hugo Weaving,Person
438,Marcus Chong,Person
439,Gloria Foster,Person
440,Julian Arahanga,Person
441,Belinda McClory,Person
442,Joe Pantoliano,Person
443,Matt Doran,Person
444,Anthony Ray Parker,Person
445,Paul Goddard,Person
446,David Aston,Person
447,Marc Aden,Person
448,The Matrix Reloaded,Movie
449,Helmut Bakaitis,Person
450,Lambert Wilson,Person
451,Monica Bellucci,Person
452,Adrian Rayment,Person
453,Neil Rayment,Person
454,Daniel Bernhardt,Person
455,Roy Jones Jr.,Person
456,David Kilde,Person
457,Randall Duk Kim,Person
458,Harry Lennix,Person
459,Matt McColm,Person
460,Collin Chou,Person
461,The Matrix Revolutions,Movie
462,Mary Alice,Person
463,Harold Perrineau,Person
464,Jada Pinkett Smith,Person
465,Gina Torres,Person
466,Out of Africa,Movie
467,Sydney Pollack,Person
468,Meryl Streep,Person
469,Robert Redford,Person
470,Klaus Maria Brandauer,Person
471,Michael Kitchen,Person
472,Malick Bowens,Person
473,Joseph Thiaka,Person
474,Stephen Kinyanjui,Person
475,Michael Gough,Person
476,Suzanna Hamilton,Person
477,Rachel Kempson,Person
478,Graham Crowden,Person
479,Leslie Phillips,Person
480,Mike Bugara,Person
481,Shane Rimmer,Person
482,Job Seda,Person
483,Men In Black,Movie
484,Barry Sonnenfeld,Person
485,Tommy Lee Jones,Person
486,Linda Fiorentino,Person
487,Rip Torn,Person
488,Tony Shalhoub,Person
489,Mike Nussbaum,Person
490,Jon Gries,Person
491,Sergio Calderón,Person
492,Carel Struycken,Person
493,Fredric Lehne,Person
494,Richard Hamilton,Person
495,Kent Faulcon,Person
496,John Alexander,Person
497,Siobhan Fallon,Person
498,Men In Black II,Movie
499,Lara Flynn Boyle,Person
500,Johnny Knoxville,Person
501,Rosario Dawson,Person
502,Patrick Warburton,Person
503,Jack Kehler,Person
504,David Cross,Person
505,Colombe Jacobsen-Derstine,Person
506,Peter Spellos,Person
507,Jaden Smith,Person
508,Poltergeist,Movie
509,Tobe Hooper,Person
510,Craig T. Nelson,Person
511,JoBeth Williams,Person
512,Beatrice Straight,Person
513,Dominique Dunne,Person
514,Oliver Robins,Person
515,Heather O'Rourke,Person
516,Michael McManus,Person
517,Virginia Kiser,Person
518,Martin Casella,Person
519,Richard Lawson,Person
520,Zelda Rubinstein,Person
521,Lou Perryman,Person
522,Forrest Gump,Movie
523,Robert Zemeckis,Person
524,Tom Hanks,Person
525,Robin Wright,Person
526,Gary Sinise,Person
527,Mykelti Williamson,Person
528,Sally Field,Person
529,Michael Conner Humphreys,Person
530,Peter Dobson,Person
531,Hanna R. Hall,Person
532,Sonny Shroyer,Person
533,Jed Gillin,Person
534,Afemo Omilami,Person
535,Steven Griffith,Person
536,John William Galt,Person
537,Nora Dunfee,Person
538,Michael Mattison,Person
539,Haley Joel Osment,Person
540,Kitty K. Green,Person
541,Marlena Smalls,Person
542,Kevin Mangan,Person
543,Sam Anderson,Person
544,Tron Legacy,Movie
545,Garrett Hedlund,Person
546,Jeff Bridges,Person
547,Olivia Wilde,Person
548,Bruce Boxleitner,Person
549,Yaya DaCosta,Person
550,Serinda Swan,Person
551,Beau Garrett,Person
552,Elizabeth Mathis,Person
553,James Frain,Person
554,Amy Esterle,Person
555,Brandon Jay McLaren,Person
556,Michael Sheen,Person
557,Owen Best,Person
558,Michael Teigen,Person
559,Daft Punk,Person
560,Ron Selmour,Person
561,Conrad Coates,Person
562,Kis Yurij,Person
563,Joseph Kosinski,Person
564,Star Wars: Episode IV - A New Hope,Movie
565,George Lucas,Person
566,Mark Hamill,Person
567,Carrie Fisher,Person
568,Harrison Ford,Person
569,Peter Cushing,Person
570,Anthony Daniels,Person
571,Kenny Baker,Person
572,Alec Guinness,Person
573,Peter Mayhew,Person
574,David Prowse,Person
575,James Earl Jones,Person
576,Phil Brown,Person
577,Shelagh Fraser,Person
578,Roger Lloyd-Pack,Person
579,Kelly Williams,Person
580,Star Wars: Episode I - The Phantom Menace,Movie
581,Natalie Portman,Person
582,Ewan McGregor,Person
583,Liam Neeson,Person
584,Ian McDiarmid,Person
585,Jake Lloyd,Person
586,Pernilla August,Person
587,Frank Oz,Person
588,Oliver Ford Davies,Person
589,Ray Park,Person
590,Hugh Quarshie,Person
591,Ahmed Best,Person
592,Andrew Secombe,Person
593,Steve Speirs,Person
594,Samuel L. Jackson,Person
595,Keira Knightley,Person
596,Sofia Coppola,Person
597,Star Wars: Episode VI - Return of the Jedi,Movie
598,Richard Marquand,Person
599,Billy Dee Williams,Person
600,Sebastian Shaw,Person
601,Star Wars: Episode II - Attack of the Clones,Movie
602,Hayden Christensen,Person
603,Christopher Lee,Person
604,Rose Byrne,Person
605,Alan Ruscoe,Person
606,Veronica Segura,Person
607,Silas Carson,Person
608,Ron Falk,Person
609,Jay Laga'aia,Person
610,Jimmy Smits,Person
611,Daniel Logan,Person
612,Temuera Morrison,Person
613,Ayesha Dharker,Person
614,Joel Edgerton,Person
615,Jack Thompson,Person
616,Bonnie Piesse,Person
617,Star Trek IV: The Voyage Home,Movie
618,Leonard Nimoy,Person
619,William Shatner,Person
620,DeForest Kelley,Person
621,James Doohan,Person
622,George Takei,Person
623,Walter Koenig,Person
624,Nichelle Nichols,Person
625,Jane Wyatt,Person
626,Catherine Hicks,Person
627,Mark Lenard,Person
628,Robin Curtis,Person
629,Star Trek: Generations,Movie
630,David Carson,Person
631,Patrick Stewart,Person
632,Jonathan Frakes,Person
633,LeVar Burton,Person
634,Michael Dorn,Person
635,Gates McFadden,Person
636,Marina Sirtis,Person
637,Malcolm McDowell,Person
638,Alan Ruck,Person
639,Whoopi Goldberg,Person
640,Star Trek: Insurrection,Movie
641,F. Murray Abraham,Person
642,Anthony Zerbe,Person
643,Donna Murphy,Person
644,Gregg Henry,Person
645,Star Trek III: The Search for Spock,Movie
646,Merritt Butrick,Person
647,Christopher Lloyd,Person
648,Carl Steven,Person
649,Vadia Potenza,Person
650,Stephen Manley,Person
651,Joe W. Davis,Person
652,Judith Anderson,Person
653,Star Trek: The Motion Picture,Movie
654,Robert Wise,Person
655,Majel Barrett,Person
656,Stephen Collins,Person
657,Persis Khambatta,Person
658,Grace Lee Whitney,Person
659,Star Trek: Nemesis,Movie
660,Stuart Baird,Person
661,Tom Hardy,Person
662,Ron Perlman,Person
663,Shannon Cochran,Person
664,Dina Meyer,Person
665,Star Trek II: The Wrath of Khan,Movie
666,Nicholas Meyer,Person
667,Ricardo Montalban,Person
668,Bibi Besch,Person
669,Kirstie Alley,Person
670,Paul Winfield,Person
671,Alice in Wonderland,Movie
672,Tim Burton,Person
673,Johnny Depp,Person
674,Anne Hathaway,Person
675,Helena Bonham Carter,Person
676,Alan Rickman,Person
677,Crispin Glover,Person
678,Mia Wasikowska,Person
679,Stephen Fry,Person
680,Timothy Spall,Person
681,Marton Csokas,Person
682,Noah Taylor,Person
683,Matt Lucas,Person
684,Barbara Windsor,Person
685,Lindsay Duncan,Person
686,Tim Pigott-Smith,Person
687,Frances de la Tour,Person
688,Pirates of the Caribbean: Dead Man's Chest,Movie
689,Orlando Bloom,Person
690,Jack Davenport,Person
691,Bill Nighy,Person
692,Stellan Skarsgård,Person
693,Tom Hollander,Person
694,Jonathan Pryce,Person
695,Naomie Harris,Person
696,Geoffrey Rush,Person
697,Kevin McNally,Person
698,Lee Arenberg,Person
699,Mackenzie Crook,Person
700,David Bailie,Person
701,Alex Norton,Person
702,Lauren Maher,Person
703,Vanessa Branch,Person
704,Luke de Woolfson,Person
705,Gore Verbinski,Person
706,Pirates of the Caribbean: At World's End,Movie
707,Chow Yun-Fat,Person
708,Martin Klebba,Person
709,Greg Ellis,Person
710,Keith Richards,Person
711,Charlie and the Chocolate Factory,Movie
712,Freddie Highmore,Person
713,AnnaSophia Robb,Person
714,Julia Winter,Person
715,David Kelly,Person
716,Jordan Fry,Person
717,Philip Wiegratz,Person
718,James Fox,Person
719,Franziska Troegner,Person
720,Missi Pyle,Person
721,Deep Roy,Person
722,Pirates of the Caribbean: The Curse of the Black Pearl,Movie
723,Damian O'Hare,Person
724,Giles New,Person
725,Angus Barnett,Person
726,Michael Berry Jr.,Person
727,Isaac C. Singleton Jr.,Person
728,Chocolat,Movie
729,Lasse Hallström,Person
730,Juliette Binoche,Person
731,Alfred Molina,Person
732,Judi Dench,Person
733,Antonio Gil,Person
734,Hélène Cardona,Person
735,Hugh O'Conor,Person
736,Lena Olin,Person
737,Peter Stormare,Person
738,Aurelien Parent Koenig,Person
739,Victoire Thivisol,Person
740,Harrison Pratt,Person
741,Gaelan Connell,Person
742,Elisabeth Commelin,Person
743,Ron Cook,Person
744,Leslie Caron,Person
745,John Wood,Person
746,The Polar Express,Movie
747,Michael Jeter,Person
748,Eddie Deezen,Person
749,Chris Coppola,Person
750,Nona Gaye,Person
751,Peter Scolari,Person
752,Charles Fleischer,Person
753,Steven Tyler,Person
754,Leslie Zemeckis,Person
755,Julene Renee,Person
756,Apollo 13,Movie
757,Ron Howard,Person
758,Bill Paxton,Person
759,Kevin Bacon,Person
760,Ed Harris,Person
761,Kathleen Quinlan,Person
762,Mary Kate Schellhardt,Person
763,Emily Ann Lloyd,Person
764,Miko Hughes,Person
765,Max Elliott Slade,Person
766,Jean Speegle Howard,Person
767,Tracy Reiner,Person
768,David Andrews,Person
769,Michele Little,Person
770,Chris Ellis,Person
771,Joe Spano,Person
772,Xander Berkeley,Person
773,Roger Corman,Person
774,Philadelphia,Movie
775,Roberta Maxwell,Person
776,Buzz Kilman,Person
777,Antonio Banderas,Person
778,Denzel Washington,Person
779,Jonathan Demme,Person
780,The Green Mile,Movie
781,Frank Darabont,Person
782,Michael Clarke Duncan,Person
783,Bonnie Hunt,Person
784,David Morse,Person
785,Graham Greene,Person
786,Patricia Clarkson,Person
787,Dabbs Greer,Person
788,Doug Hutchison,Person
789,Sam Rockwell,Person
790,James Cromwell,Person
791,Barry Pepper,Person
792,Leon: The Professional,Movie
793,Luc Besson,Person
794,Jean Reno,Person
795,Gary Oldman,Person
796,Danny Aiello,Person
797,Peter Appel,Person
798,Willi One Blood,Person
799,Don Creech,Person
800,Keith A. Glascoe,Person
801,Michael Badalucco,Person
802,The Lord of the Rings: The Fellowship of the Ring,Movie
803,Peter Jackson,Person
804,Elijah Wood,Person
805,Ian McKellen,Person
806,Viggo Mortensen,Person
807,Liv Tyler,Person
808,John Rhys-Davies,Person
809,Sean Bean,Person
810,Sean Astin,Person
811,Billy Boyd,Person
812,Dominic Monaghan,Person
813,Cate Blanchett,Person
814,Ian Holm,Person
815,Craig Parker,Person
816,Lawrence Makoare,Person
817,Sala Baker,Person
818,Alan Howard,Person
819,Andy Serkis,Person
820,The Lord of the Rings: The Two Towers,Movie
821,Bernard Hill,Person
822,Brad Dourif,Person
823,Miranda Otto,Person
824,David Wenham,Person
825,Karl Urban,Person
826,The Lord of the Rings: The Return of the King,Movie
827,John Noble,Person
828,Paul Norell,Person
829,Thomas Robins,Person
830,Ariel,Movie
831,Aki Kaurismäki,Person
832,Turo Pajala,Person
833,Susanna Haavisto,Person
834,Matti Pellonpää,Person
835,Eetu Hilkamo,Person
836,Shadows in Paradise,Movie
837,Kati Outinen,Person
838,Sakari Kuosmanen,Person
839,State of Siege,Movie
840,Constantin Costa-Gavras,Person
841,Yves Montand,Person
842,Renato Salvatori,Person
843,O.E. Hasse,Person
844,Jacques Weber,Person
845,Jean-Luc Bideau,Person
846,Four Rooms,Movie
847,Quentin Tarantino,Person
848,Robert Rodriguez,Person
849,Alexandre Rockwell,Person
850,Allison Anders,Person
851,Jennifer Beals,Person
852,Sammi Davis,Person
853,Amanda De Cadenet,Person
854,Valeria Golino,Person
855,Lili Taylor,Person
856,Patricia Vonne,Person
857,Madonna Louise Veronica Ciccone,Person
858,Bruce Willis,Person
859,Tim Roth,Person
860,Lawrence Bender,Person
861,Ione Skye,Person
862,Lana McKissack,Person
863,Alicia Witt,Person
864,David Proval,Person
865,Marisa Tomei,Person
866,Tamlyn Tomita,Person
867,Kathy Griffin,Person
